signal_file	label_file	feature_file	state
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_1.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_1.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_1.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_2.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_2.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_2.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_3.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_3.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_3.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_4.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_4.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_4.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_5.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_5.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_5.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_18.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_18.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_18.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_22.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_22.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_22.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_23.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_23.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_23.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_24.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_24.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_24.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_25.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_25.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_25.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_27.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_27.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_27.mat	good
/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Signal_TwinData3_28.mat	/media/sunhaoqi/Seagate Backup Plus Drive/sleep_data/ExtractedSignalAndLabels/Part_01/Labels_TwinData3_28.mat	/data/cross_channel_sleep_staging/preprocessed_data/ECG_new/Feature_TwinData3_28.mat	good
